*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CharliePlexedLampFieldv2a
*Date=23:31:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;113.698;-6.88677;0;Bottom;Via38
111;;;75.6623;-14.5836;0;Bottom;Via23
112;;;45.1473;-17.0645;0;Bottom;Via11
113;;;29.545;-33.3282;0;Bottom;TXT1
114;;;141.38;-22.6706;0;Bottom;TXT1
115;;;24.4483;-12.554;0;Bottom;TXT1
116;;;44.5539;-33.3694;0;Bottom;TXT1
117;;;101.006;-17.0605;0;Bottom;Via33
118;;3 mm [THT];40.7194;-29.788;90;Bottom;LED5
119;;3 mm [THT];101.679;-29.788;90;Bottom;LED17
120;;;151.828;-14.5479;0;Bottom;Via54
121;;;55.3188;-14.5836;0;Bottom;Via15
122;;;24.8038;-24.6726;0;Bottom;Via3
